:START_ID,:TYPE,preposition_name,:END_ID
0,Has_Event,,3
1,Has_Event,,3
3,Has_Direct_Object,,2
0,Has_Action,,1
3,Has_Location,,4
5,Has_Action,,1
1,Has_Event,,7
7,Has_Location,,8
7,Has_Direct_Object,,6
5,Has_Event,,7
10,Has_Event,,12
9,Has_Event,,12
11,Has_Status,,13
9,Has_Action,,10
12,Has_Direct_Object,,11
14,Has_Event,,17
14,Has_Action,,15
17,Has_Direct_Object,,16
15,Has_Event,,17
18,Has_Action,,15
15,Has_Event,,20
20,Has_Direct_Object,,19
18,Has_Event,,20
23,Has_Location,,24
21,Has_Action,,1
23,Has_Direct_Object,,22
1,Has_Event,,23
21,Has_Event,,23
26,Has_Event,,28
19,Has_Status,,29
28,Has_Preposition_Object,with,27
25,Has_Event,,28
27,Has_Status,,29
28,Has_Direct_Object,,19
25,Has_Action,,26
33,Has_Direct_Object,,32
30,Has_Event,,33
30,Has_Action,,31
31,Has_Event,,33
34,Has_Action,,31
34,Has_Event,,33
35,Has_Event,,39
35,Has_Action,,36
36,Has_Event,,39
39,Has_Preposition_Object,in,38
39,Has_Direct_Object,,37
42,Has_Direct_Object,,41
15,Has_Event,,42
40,Has_Event,,42
40,Has_Action,,15
43,Has_Action,,44
46,Has_Direct_Object,,45
43,Has_Event,,46
44,Has_Event,,46
44,Has_Event,,49
47,Has_Action,,44
49,Has_Direct_Object,,48
47,Has_Event,,49
50,Has_Action,,15
15,Has_Event,,52
52,Has_Direct_Object,,51
50,Has_Event,,52
53,Has_Action,,54
56,Has_Preposition_Object,in,55
11,Has_Type,,13
53,Has_Event,,56
56,Has_Direct_Object,,11
54,Has_Event,,56
57,Has_Action,,54
57,Has_Event,,56
58,Has_Event,,56
58,Has_Action,,54
59,Has_Action,,44
61,Has_Direct_Object,,60
44,Has_Event,,61
59,Has_Event,,61
64,Has_Direct_Object,,41
62,Has_Action,,63
62,Has_Event,,64
63,Has_Event,,64
65,Has_Action,,15
65,Has_Event,,67
15,Has_Event,,67
67,Has_Preposition_Object,about,2
67,Has_Direct_Object,,66
15,Has_Event,,70
69,Has_Status,,71
70,Has_Direct_Object,,69
68,Has_Event,,70
68,Has_Action,,15
72,Has_Action,,15
72,Has_Event,,70
73,Has_Action,,44
73,Has_Event,,46
74,Has_Event,,49
74,Has_Action,,44
75,Has_Event,,17
75,Has_Action,,15
76,Has_Action,,15
76,Has_Event,,17
77,Has_Event,,79
44,Has_Event,,79
77,Has_Action,,44
79,Has_Direct_Object,,78
80,Has_Event,,52
80,Has_Action,,15
81,Has_Action,,15
81,Has_Event,,67
67,Has_Preposition_Object,about,82
83,Has_Action,,44
85,Has_Preposition_Object,from,84
44,Has_Event,,85
84,Has_Status,,13
83,Has_Event,,85
